African Golden Cat,Asiatic Golden Cat,0.2,15
African Golden Cat,Bobcat,0.56,18
African Golden Cat,Caracal,0.19,16
African Golden Cat,Ocelot,0.4,15
American Cheetah,Giant Cheetah,0.29,14
Amur Leopard Cat,Jaguarundi,0.5,6
Asian Golden Cat,Fishing Cat,0.46,13
Asian Golden Cat,Ocelot,0.44,18
Bengal Cat (female),Margay,0.42,12
Black-footed Cat,Rusty-spotted Cat,0.8712871287,8
Black-footed Cat,Sand Cat,0.14,7
Bobcat,Canadian Lynx,0.54,28
Bobcat,Caracal,0.39,28
Bobcat,Fishing Cat,0.43,14
Bobcat,Iberian Lynx,0.33,15
Bobcat,Ocelot,0.28,29
Canadian Lynx,Iberian Lynx,0.44,9
Canadian Lynx,Ocelot,0.17,12
Canadian Lynx,Serval,0.84,25
Caracal (male),Cheetah (female),0,25
Caracal,Fishing Cat,0.5,14
Caracal (female),Jungle Cat,1,7
Caracal,Ocelot,0.51,43
Caracal,Serval,0.93,14
Cheetah (coalition of 2),Cougar,0.17,18
Cheetah (female),Eurasian Lynx (male),0.67,42
Cougar,Giant Cheetah,0.71,24
Eurasian Lynx (female),Ocelot,0.57,14
Feral Cat (Australian),Jungle Cat,0,6
Feral Cat,Wildcat,0.13,23
Fishing Cat,Ocelot,0.51,39
Geoffroy's Cat,Jaguarundi,0.15,13
Iberian Lynx,Ocelot,0.18,11
Asiatic Cheetah (coalition of 3 - 4),Persian Leopard,0.26,19
Cheetah,Cape Leopard,0.4,30
Cheetah (coalition of 5),Lioness,0.1,20
Cheetah (male),Snow Leopardess,0.41,39
Cougar,Bali Tigress,0.27,30
Cougar,Jaguaress,0.24,25
Cougar,Leopard,0.44,165
Cougar,Mexican Jaguar,0.52,27
Eurasian Lynx,Cape Leopardess,0.15,26
Eurasian Lynx,Clouded Leopard,0.36,64
Florida Panther,Snow Leopard,0.6,30
Giant Cheetah,African Leopard,0.5,36
Giant Cheetah,European Ice Age Leopard,0.25,20
Kalahari Cheetah,Cape Leopardess,0.24,21
Kalahari Cheetah,Sunda Clouded Leopard,0.63,30
North American Cougar (female),African Leopardess,0.75,24
Ocelot (male),Clouded Leopardess,0.17,29
Owen's Panther,Snow Leopard,0.5,8
Dinofelis spp.,Smilodon gracilis,0.78,9
Giant Cheetah,Lokotunjailurus emageritus,0,12
Pleistocene Cougar,Smilodon gracilis,0.36,25
Chinese Desert (or Mountain) Cat,Proailurus lemanensis,0.67,12
African Wildcat,Cape Fox,0.91,11
American Cheetah,Dire Wolf,0.5,26
American Cheetah,Northwestern Wolf,0.79,14
African Golden Cat,African Golden Wolf,0.69,13
Asiatic Cheetah,Indian Wolf,0.92,24
Bobcat,Coyote,0.57,67
Bobcat,Dhole,0.21,19
Bobcat,Eastern Wolf (female),0.2,20
Canadian Lynx,Coyote,0.66,47
Canadian Lynx,Dingo,0.33,12
Caracal,Black-backed Jackal (females) (pack of 2),0.6,10
Caracal (female),Black-backed Jackal,0.93,14
Caracal,Coyote,0.55,22
Caracal,Dhole,0.46,28
Caracal,Dingo,0.35,20
Caracal,East African Wild Dog,0.09,23
Cheetah,African Wild Dog,0.91,46
Cheetah,African Wild Dog (pack of 3),0.1,29
