rank,animal,power,category
1,Futalognkosaurus dukei,14810.461832,dinosaur
2,Allosaurus fragilis (pack of 2/3),14236.424119,dinosaur
3,Orca Pod (of 8-10),11096.400405,non-mesozoic
4,Phuwiangosaurus sirindhornae,10666.112778,dinosaur
5,Utahraptor ostrommaysorum (pack of 10),8282.402731,dinosaur
6,Allosaurus fragilis (pack of 4),7796.293578,dinosaur
7,Allosaurus fragilis (pack of 5),7190.433048,dinosaur
8,Brygmophyseter shigensis (pod of 5),7092.774448,non-mesozoic
9,Livyatan melvillei,5933.423721,non-mesozoic
10,Orca Pod (of 5),5549.494109,non-mesozoic
11,Carcharocles megalodon,5010.293982,non-mesozoic
12,Eotriceratops xerinsularis,4487.493804,dinosaur
13,Pliosaurus spp. (a large one!),3460.202757,mesozoic-other
14,Orca Pod (of 4),3451.843646,non-mesozoic
15,Purussaurus brasiliensis (float of 5),3347.370773,non-mesozoic
16,Sperm Whale (Bull),3341.130814,non-mesozoic
17,Borson's Mastodon,3269.715853,non-mesozoic
18,Orca Pod (of 3),3240.963564,non-mesozoic
19,Blue Whale,3091.875868,non-mesozoic
20,Asian Straight-tusked Elephant,3034.572855,non-mesozoic
21,Albertosaurus sarcophagus (pack of 4/5),2538.962634,dinosaur
22,Megacephalosaurus eulerti,2464.721386,mesozoic-other
23,Shantungosaurus giganteus,2285.208849,dinosaur
24,Paraceratherium spp.,2148.846035,non-mesozoic
25,Straight-tusked Elephant,2124.439722,non-mesozoic
26,Apatosaurus ajax,2094.041631,dinosaur
27,Shonisaurus popularis,2089.651081,mesozoic-other
28,Brygmophyseter shigensis (pod of 4),1753.707424,non-mesozoic
29,Ankylosaurus magniventris,1747.297115,dinosaur
30,Tyrannosaurus rex,1662.535702,dinosaur
31,Dacentrurus armatus,1638.825069,dinosaur
32,Deinosuchus riograndensis (float of 3),1605.443658,mesozoic-other
33,Orca Pod (of 2),1578.757559,non-mesozoic
34,Prognathodon saturator,1568.118132,mesozoic-other
35,Bowhead Whale,1552.252467,non-mesozoic
36,Thalattoarchon saurophagis,1521.747880,mesozoic-other
37,African Bush Elephant Cows (herd of 4),1504.141260,non-mesozoic
38,Deinosuchus riograndensis,1500.641191,mesozoic-other
39,Pliosaurus funkei,1403.049282,mesozoic-other
40,Astrodon johnstoni,1339.156476,dinosaur
41,Sperm Whale,1321.143192,non-mesozoic
42,Giganotosaurus carolinii,1317.562295,dinosaur
43,Triceratops horridus,1276.744915,dinosaur
44,Tyrannotitan chubutensis,1255.021995,dinosaur
45,American Lion (pride of 20),1253.230518,non-mesozoic
46,Humpback Whale,1221.368190,non-mesozoic
47,Kronosaurus queenslandicus,1216.027987,mesozoic-other
48,Orca (Ross Sea - Type C),1125.517328,non-mesozoic
49,Mapusaurus roseae (pack of 2),1110.618107,dinosaur
50,Carcharocles chubutensis,1099.904653,non-mesozoic
51,Zhuchengtyrannus magnus,1093.186903,dinosaur
52,Bryde's Whale,1029.112140,non-mesozoic
53,North Pacific Right Whale,1022.135662,non-mesozoic
54,Carcharocles angustidens,1007.059777,non-mesozoic
55,Steppe Mammoth,985.134078,non-mesozoic
56,Maip macrothorax,969.353779,dinosaur
57,Southern Mammoth,953.219736,non-mesozoic
58,Mosasaurus hoffmannii,945.592306,mesozoic-other
59,Tylosaurus proriger,909.503778,mesozoic-other
60,Diplodocus carnegii,854.137496,dinosaur
61,Purussaurus brasiliensis,775.222988,non-mesozoic
62,American Lion (Coalition of 3),736.995901,non-mesozoic
63,Mapusaurus roseae,685.415619,dinosaur
64,Acrocanthosaurus atokensis,683.643150,dinosaur
65,Torvosaurus tanneri,628.396285,dinosaur
66,Titanoceratops ouranos,627.772240,dinosaur
67,Carcharodontosaurus saharicus,625.714057,dinosaur
68,Albertosaurus sarcophagus,618.610422,dinosaur
69,Shastasaurus sikkanniensis,602.166047,mesozoic-other
70,Sachicasaurus vitae,597.776148,mesozoic-other
71,Perucetus colossus,590.526256,non-mesozoic
72,Asiatic Lion (pride of 4/5),561.708935,non-mesozoic
73,Otodus obliquus,551.445245,non-mesozoic
74,Lambeosaurus spp.,534.195069,dinosaur
75,Allosaurus fragilis (pack of 2),532.321926,dinosaur
76,Himalayasaurus tibetensis,530.377137,mesozoic-other
77,Brontosaurus excelsus,519.382537,dinosaur
78,Arabian Elephant,484.435443,non-mesozoic
79,American Lion (Coalition of 3 - 5),484.135100,non-mesozoic
80,Euoplocephalus tutus,481.051576,dinosaur
81,Pycnonemosaurus nevesi (pack of 3),477.721397,dinosaur
82,Spinosaurus aegyptiacus,448.718420,dinosaur
83,Carcharodontosaurus iguidensis,446.979837,dinosaur
84,Columbian Mammoth,428.988972,non-mesozoic
85,Suchomimus tenerensis (2),425.160466,dinosaur
86,Rhamphosuchus crassidens,420.287246,non-mesozoic
87,Paraceratherium bugtiense,396.570264,non-mesozoic
88,Rugops primus (pack of 4),392.631544,dinosaur
89,Stegosaurus stenops,391.727157,dinosaur
90,Basilosaurus cetoides,391.067942,non-mesozoic
91,Temnodontosaurus platyodon,380.028984,mesozoic-other
92,"Neanderthal (armed with spears, troop of 10)",379.613497,non-mesozoic
93,Deinocheirus mirificus,367.167504,dinosaur
94,Fasolasuchus tenax,360.868946,mesozoic-other
95,Shunosaurus jiangyiensis,354.228611,dinosaur
96,Sperm Whale (Cow),350.431353,non-mesozoic
97,Anancus arvernensis,348.283971,non-mesozoic
98,Cymbospondylus youngorum,348.196255,mesozoic-other
99,Torosaurus latus,346.975689,dinosaur
100,Deinotherium thraceiensis,338.835485,non-mesozoic
101,Daspletosaurus torosus,314.484479,dinosaur
102,Orca (Killer Whale),303.537950,non-mesozoic
103,African (Cape) Buffalo (herd of 10),302.835251,non-mesozoic
104,Siats meekerorum,299.516002,dinosaur
105,American Mastodon,296.005930,non-mesozoic
106,Yutyrannus huali,293.865078,dinosaur
107,Lion Coalition of 5 Lions,289.439641,non-mesozoic
108,Sigilmassasaurus brevicollis,285.440936,dinosaur
109,Vorombe titan,275.966921,non-mesozoic
110,Elasmotherium sibiricum,269.536258,non-mesozoic
111,Styracosaurus albertensis,267.807349,dinosaur
112,Prognathodon spp.,267.275857,mesozoic-other
113,Asiatic Lioness (pride of 3),262.374912,non-mesozoic
114,Tarbosaurus bataar,261.694416,dinosaur
115,Eocarcharia dinops,260.779987,dinosaur
116,Liopleurodon ferox,260.147041,mesozoic-other
117,Common Bottlenose Dolphin (pod of 6/7),247.554170,non-mesozoic
118,Spinosaurus aegypticus,246.033898,dinosaur
119,Smilodon populator (pride of 3),244.442519,non-mesozoic
