rank,animal,power
1,Futalognkosaurus dukei,14810.461832
2,Allosaurus fragilis (pack of 2/3),14236.424119
3,Orca Pod (of 8-10),11096.400405
4,Phuwiangosaurus sirindhornae,10666.112778
5,Utahraptor ostrommaysorum (pack of 10),8282.402731
6,Allosaurus fragilis (pack of 4),7796.293578
7,Allosaurus fragilis (pack of 5),7190.433048
8,Brygmophyseter shigensis (pod of 5),7092.774448
9,Livyatan melvillei,5933.423721
10,Orca Pod (of 5),5549.494109
11,Carcharocles megalodon,5010.293982
12,Eotriceratops xerinsularis,4487.493804
13,Pliosaurus spp. (a large one!),3460.202757
14,Orca Pod (of 4),3451.843646
15,Purussaurus brasiliensis (float of 5),3347.370773
16,Sperm Whale (Bull),3341.130814
17,Borson's Mastodon,3269.715853
18,Orca Pod (of 3),3240.963564
19,Blue Whale,3091.875868
20,Asian Straight-tusked Elephant,3034.572855
21,Albertosaurus sarcophagus (pack of 4/5),2538.962634
22,Megacephalosaurus eulerti,2464.721386
23,Shantungosaurus giganteus,2285.208849
24,Paraceratherium spp.,2148.846035
25,Straight-tusked Elephant,2124.439722
26,Apatosaurus ajax,2094.041631
27,Shonisaurus popularis,2089.651081
28,Brygmophyseter shigensis (pod of 4),1753.707424
29,Ankylosaurus magniventris,1747.297115
30,Tyrannosaurus rex,1662.535702
31,Dacentrurus armatus,1638.825069
32,Deinosuchus riograndensis (float of 3),1605.443658
33,Orca Pod (of 2),1578.757559
34,Prognathodon saturator,1568.118132
35,Bowhead Whale,1552.252467
36,Thalattoarchon saurophagis,1521.747880
37,African Bush Elephant Cows (herd of 4),1504.141260
38,Deinosuchus riograndensis,1500.641191
39,Pliosaurus funkei,1403.049282
40,Astrodon johnstoni,1339.156476
41,Sperm Whale,1321.143192
42,Giganotosaurus carolinii,1317.562295
43,Triceratops horridus,1276.744915
44,Tyrannotitan chubutensis,1255.021995
45,American Lion (pride of 20),1253.230518
46,Humpback Whale,1221.368190
47,Kronosaurus queenslandicus,1216.027987
48,Orca (Ross Sea - Type C),1125.517328
49,Mapusaurus roseae (pack of 2),1110.618107
50,Carcharocles chubutensis,1099.904653
51,Zhuchengtyrannus magnus,1093.186903
52,Bryde's Whale,1029.112140
53,North Pacific Right Whale,1022.135662
54,Carcharocles angustidens,1007.059777
55,Steppe Mammoth,985.134078
56,Maip macrothorax,969.353779
57,Southern Mammoth,953.219736
58,Mosasaurus hoffmannii,945.592306
59,Tylosaurus proriger,909.503778
60,Diplodocus carnegii,854.137496
61,Purussaurus brasiliensis,775.222988
62,American Lion (Coalition of 3),736.995901
63,Mapusaurus roseae,685.415619
64,Acrocanthosaurus atokensis,683.643150
65,Torvosaurus tanneri,628.396285
66,Titanoceratops ouranos,627.772240
67,Carcharodontosaurus saharicus,625.714057
68,Albertosaurus sarcophagus,618.610422
69,Shastasaurus sikkanniensis,602.166047
70,Sachicasaurus vitae,597.776148
71,Perucetus colossus,590.526256
72,Asiatic Lion (pride of 4/5),561.708935
73,Otodus obliquus,551.445245
74,Lambeosaurus spp.,534.195069
75,Allosaurus fragilis (pack of 2),532.321926
76,Himalayasaurus tibetensis,530.377137
77,Brontosaurus excelsus,519.382537
