rank,animal,crowd_score,normalized,rescaled,category
1,Futalognkosaurus dukei,14810.461832,144926.7555,1845573.9141,dinosaur
2,Allosaurus fragilis (pack of 2/3),14236.424119,139309.5489,1774041.4365,dinosaur
3,Phuwiangosaurus sirindhornae,10666.112778,104372.5129,1329134.7516,dinosaur
4,Utahraptor ostrommaysorum (pack of 10),8282.402731,81046.8822,1032093.8401,dinosaur
5,Allosaurus fragilis (pack of 4),7796.293578,76290.0945,971518.3914,dinosaur
6,Allosaurus fragilis (pack of 5),7190.433048,70361.4880,896020.3817,dinosaur
7,Eotriceratops xerinsularis,4487.493804,43912.0619,559199.4091,dinosaur
8,Albertosaurus sarcophagus (pack of 4/5),2538.962634,24844.8442,316387.3794,dinosaur
9,Shantungosaurus giganteus,2285.208849,22361.7540,284766.3961,dinosaur
10,Apatosaurus ajax,2094.041631,20491.1003,260944.5035,dinosaur
11,Ankylosaurus magniventris,1747.297115,17098.0557,217735.6798,dinosaur
12,Tyrannosaurus rex,1662.535702,16268.6288,207173.3183,dinosaur
13,Dacentrurus armatus,1638.825069,16036.6100,204218.6686,dinosaur
14,Astrodon johnstoni,1339.156476,13104.2236,166876.1101,dinosaur
15,Giganotosaurus carolinii,1317.562295,12892.9152,164185.1976,dinosaur
16,Triceratops horridus,1276.744915,12493.4995,159098.8274,dinosaur
17,Tyrannotitan chubutensis,1255.021995,12280.9314,156391.8723,dinosaur
18,Mapusaurus roseae (pack of 2),1110.618107,10867.8771,138397.2917,dinosaur
19,Zhuchengtyrannus magnus,1093.186903,10697.3052,136225.1397,dinosaur
20,Pliosaurus spp. (a large one!),3460.202757,33859.5761,120829.4929,mesozoic-other
21,Maip macrothorax,969.353779,9485.5447,120793.9407,dinosaur
22,Orca Pod (of 8-10),11096.400405,108583.0629,108583.0629,non-mesozoic
23,Diplodocus carnegii,854.137496,8358.1037,106436.5109,dinosaur
24,Megacephalosaurus eulerti,2464.721386,24118.3616,86067.5100,mesozoic-other
25,Mapusaurus roseae,685.415619,6707.0874,85411.5963,dinosaur
26,Acrocanthosaurus atokensis,683.643150,6689.7430,85190.7239,dinosaur
27,Torvosaurus tanneri,628.396285,6149.1286,78306.2544,dinosaur
28,Titanoceratops ouranos,627.772240,6143.0221,78228.4903,dinosaur
29,Carcharodontosaurus saharicus,625.714057,6122.8819,77972.0143,dinosaur
30,Albertosaurus sarcophagus,618.610422,6053.3697,77086.8100,dinosaur
31,Shonisaurus popularis,2089.651081,20448.1369,72970.1403,mesozoic-other
32,Brygmophyseter shigensis (pod of 5),7092.774448,69405.8565,69405.8565,non-mesozoic
33,Lambeosaurus spp.,534.195069,5227.3291,66567.5720,dinosaur
34,Allosaurus fragilis (pack of 2),532.321926,5208.9996,66334.1543,dinosaur
35,Brontosaurus excelsus,519.382537,5082.3821,64721.7401,dinosaur
36,Euoplocephalus tutus,481.051576,4707.2971,59945.2097,dinosaur
37,Pycnonemosaurus nevesi (pack of 3),477.721397,4674.7099,59530.2266,dinosaur
38,Livyatan melvillei,5933.423721,58061.1097,58061.1097,non-mesozoic
39,Deinosuchus riograndensis (float of 3),1605.443658,15709.9585,56061.7272,mesozoic-other
40,Spinosaurus aegyptiacus,448.718420,4390.9032,55916.0828,dinosaur
41,Carcharodontosaurus iguidensis,446.979837,4373.8904,55699.4331,dinosaur
42,Prognathodon saturator,1568.118132,15344.7121,54758.3284,mesozoic-other
43,Orca Pod (of 5),5549.494109,54304.1929,54304.1929,non-mesozoic
44,Thalattoarchon saurophagis,1521.747880,14890.9592,53139.0897,mesozoic-other
45,Suchomimus tenerensis (2),425.160466,4160.3785,52980.4590,dinosaur
46,Deinosuchus riograndensis,1500.641191,14684.4212,52402.0489,mesozoic-other
47,Carcharocles megalodon,5010.293982,49027.8871,49027.8871,non-mesozoic
48,Pliosaurus funkei,1403.049282,13729.4422,48994.1617,mesozoic-other
49,Rugops primus (pack of 4),392.631544,3842.0690,48926.9372,dinosaur
50,Stegosaurus stenops,391.727157,3833.2191,48814.2389,dinosaur
51,Deinocheirus mirificus,367.167504,3592.8924,45753.7905,dinosaur
52,Shunosaurus jiangyiensis,354.228611,3466.2797,44141.4381,dinosaur
53,Torosaurus latus,346.975689,3395.3067,43237.6308,dinosaur
54,Kronosaurus queenslandicus,1216.027987,11899.3582,42463.4206,mesozoic-other
55,Daspletosaurus torosus,314.484479,3077.3662,39188.8084,dinosaur
56,Siats meekerorum,299.516002,2930.8932,37323.5438,dinosaur
57,Yutyrannus huali,293.865078,2875.5965,36619.3660,dinosaur
58,Sigilmassasaurus brevicollis,285.440936,2793.1626,35569.6096,dinosaur
59,Orca Pod (of 4),3451.843646,33777.7786,33777.7786,non-mesozoic
60,Styracosaurus albertensis,267.807349,2620.6104,33372.2380,dinosaur
61,Mosasaurus hoffmannii,945.592306,9253.0285,33019.8682,mesozoic-other
62,Purussaurus brasiliensis (float of 5),3347.370773,32755.4664,32755.4664,non-mesozoic
63,Sperm Whale (Bull),3341.130814,32694.4058,32694.4058,non-mesozoic
64,Tarbosaurus bataar,261.694416,2560.7927,32610.4880,dinosaur
65,Eocarcharia dinops,260.779987,2551.8446,32496.5384,dinosaur
66,Borson's Mastodon,3269.715853,31995.5796,31995.5796,non-mesozoic
67,Tylosaurus proriger,909.503778,8899.8867,31759.6650,mesozoic-other
68,Orca Pod (of 3),3240.963564,31714.2260,31714.2260,non-mesozoic
69,Spinosaurus aegypticus,246.033898,2407.5478,30658.9861,dinosaur
70,Blue Whale,3091.875868,30255.3386,30255.3386,non-mesozoic
71,Saurophaganax maximus,239.343328,2342.0777,29825.2551,dinosaur
72,Asian Straight-tusked Elephant,3034.572855,29694.6039,29694.6039,non-mesozoic
73,Ceratosaurus nasicornis (pack of 2/3),215.035229,2104.2124,26796.1535,dinosaur
74,Yangchuanosaurus shangyouensis,211.261470,2067.2846,26325.8947,dinosaur
75,Australovenator wintonensis,202.275418,1979.3522,25206.1171,dinosaur
76,Allosaurus fragilis,190.426963,1863.4099,23729.6473,dinosaur
77,Irritator challengeri,180.359431,1764.8948,22475.1034,dinosaur
78,Shastasaurus sikkanniensis,602.166047,5892.4544,21027.5013,mesozoic-other
79,Paraceratherium spp.,2148.846035,21027.3851,21027.3851,non-mesozoic
80,Sachicasaurus vitae,597.776148,5849.4974,20874.2071,mesozoic-other
81,Straight-tusked Elephant,2124.439722,20788.5588,20788.5588,non-mesozoic
82,Gastonia burgei,152.348997,1490.8006,18984.6433,dinosaur
83,Therizinosaurus cheloniformis,151.199269,1479.5500,18841.3724,dinosaur
84,Himalayasaurus tibetensis,530.377137,5189.9690,18520.6489,mesozoic-other
85,Nanshiungosaurus brevispinus,147.743239,1445.7313,18410.7066,dinosaur
86,Brygmophyseter shigensis (pod of 4),1753.707424,17160.7834,17160.7834,non-mesozoic
87,Pentaceratops sternbergii,132.169773,1293.3382,16470.0526,dinosaur
88,Suchomimus tenerensis,131.761499,1289.3431,16419.1764,dinosaur
89,Saltriovenator zanellai,126.571534,1238.5570,15772.4401,dinosaur
90,Orca Pod (of 2),1578.757559,15448.8235,15448.8235,non-mesozoic
91,Bowhead Whale,1552.252467,15189.4597,15189.4597,non-mesozoic
92,African Bush Elephant Cows (herd of 4),1504.141260,14718.6708,14718.6708,non-mesozoic
93,Skorpiovenator bustingorryi,117.099910,1145.8731,14592.1540,dinosaur
94,Amargasaurus cazaui,116.543975,1140.4331,14522.8773,dinosaur
95,Stegosaurus ungulatus,114.709323,1122.4802,14294.2561,dinosaur
96,Deinonychus antirrhopus (pack of 5/6),111.719548,1093.2240,13921.6917,dinosaur
97,Nasutoceratops titusi,107.370651,1050.6681,13379.7632,dinosaur
98,Temnodontosaurus platyodon,380.028984,3718.7475,13270.5256,mesozoic-other
99,Parasaurolophus spp.,106.325274,1040.4387,13249.4958,dinosaur
100,Sperm Whale,1321.143192,12927.9558,12927.9558,non-mesozoic
101,Fasolasuchus tenax,360.868946,3531.2582,12601.4615,mesozoic-other
102,American Lion (pride of 20),1253.230518,12263.4010,12263.4010,non-mesozoic
103,Cymbospondylus youngorum,348.196255,3407.2505,12158.9340,mesozoic-other
104,Humpback Whale,1221.368190,11951.6144,11951.6144,non-mesozoic
105,Oxalaia quilombensis,95.696010,936.4267,11924.9529,dinosaur
106,Rhoetosaurus brownei,88.401702,865.0488,11015.9884,dinosaur
107,Orca (Ross Sea - Type C),1125.517328,11013.6724,11013.6724,non-mesozoic
108,Carcharocles chubutensis,1099.904653,10763.0413,10763.0413,non-mesozoic
109,Majungasaurus crenatissimus,85.307274,834.7685,10630.3829,dinosaur
110,Afrovenator abakensis,81.774132,800.1951,10190.1080,dinosaur
111,Bryde's Whale,1029.112140,10070.3061,10070.3061,non-mesozoic
112,North Pacific Right Whale,1022.135662,10002.0382,10002.0382,non-mesozoic
113,Carcharocles angustidens,1007.059777,9854.5142,9854.5142,non-mesozoic
